id,data_source,product_name,substance_name,INN,manufacturer,route,physical_form,physical_form_binary,API_concentration_mg_ml,API_concentration_mg_ml_min,API_concentration_mg_ml_max,API_concentration_mg_ml_op,API_concentration_mg_ml_mentioned,F_percent,F_percent_min,F_percent_max,F_percent_op,F_percent_mentioned,CL_L_per_day,CL_L_per_day_min,CL_L_per_day_max,CL_L_per_day_op,CL_L_per_day_mentioned,CL_L_per_day_per_kg,CL_kind,Vd_L,Vd_L_min,Vd_L_max,Vd_L_op,Vd_L_mentioned,Vd_L_per_kg,Vd_kind,TMDD_mentioned,TMDD_keywords_found,ex_ps80,ex_his,ex_sucr,ex_ps20,ex_nacl,ex_acet,ex_treh,ex_citr,ex_phos,ex_arg,ex_edta,ex_met,ex_sorb,ex_mann,ex_gly,is_biosimilar,extraction_date,created_at,strength_total_mg,strength_total_volume_ml,strength_label,strength_source,inn_norm
153,FDA,CYRAMZA,ramucirumab,ramucirumab,Eli Lilly and Company,IV,concentrate,2.0,10.0,,,=,1.0,100.0,,,=,1.0,0.36,,,=,1.0,,CL,,,,,0.0,,,0.0,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2026-04-13 17:44:04,2026-04-14 09:17:07,,,,,ramucirumab
155,FDA,Raxibacumab injection,raxibacumab,raxibacumab,GlaxoSmithKline,IV,solution,0.0,50.0,,,=,1.0,100.0,,,=,1.0,,,,,1.0,,CL,,,,,1.0,,Vss,0.0,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2026-04-13 17:45:57,2026-04-14 09:17:07,,,,,raxibacumab
157,FDA,CINQAIR,reslizumab,reslizumab,"Teva Respiratory, LLC",IV,solution,0.0,10.0,,,=,1.0,,,,,0.0,0.168,,,=,1.0,,CL,5.0,,,=,1.0,,Vd,1.0,target-mediated clearance,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:50:06,2026-04-14 09:17:07,,,,,reslizumab
158,FDA,ZYNYZ,retifanlimab-dlwr,,Incyte Corporation,IV,concentrate,2.0,25.0,,,=,1.0,100.0,,,=,0.0,0.24,,,=,1.0,,CL,6.0,,,=,1.0,,Vss,0.0,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:50:47,2026-04-14 09:17:07,,,,,retifanlimab
159,FDA,SKYRIZI,risankizumab-rzaa,,AbbVie Inc.,SC,solution,0.0,150.0,,,=,1.0,89.0,,,=,1.0,0.31,,,=,1.0,,CL,11.2,,,=,1.0,,Vss,0.0,,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2026-04-13 17:51:34,2026-04-14 09:17:07,,,,,risankizumab
160,FDA,RITUXAN,rituximab,rituximab,Genentech,IV,concentrate,2.0,10.0,,,=,1.0,100.0,,,=,1.0,0.335,,,=,1.0,,CL,3.1,,,=,1.0,,Vd,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:52:39,2026-04-14 09:17:07,,,,,rituximab
161,FDA,RITUXAN HYCELA,rituximab and hyaluronidase human,,Genentech,SC,solution,0.0,120.0,,,=,1.0,64.0,63.4,64.6,range,1.0,0.192,0.18,0.204,range,1.0,,CL,8.305,8.09,8.52,range,1.0,,Vss,0.0,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2026-04-13 17:56:26,2026-04-14 09:17:07,,,,,rituximab
162,FDA,TRUXIMA,rituximab-abbs,rituximab,Teva Pharmaceuticals,IV,solution,0.0,10.0,,,=,1.0,100.0,,,=,0.0,0.335,,,=,1.0,,CL,3.1,,,=,1.0,,Vd,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 17:57:14,2026-04-14 09:17:07,,,,,rituximab
163,FDA,RIABNI,rituximab-arrx,rituximab,Amgen Inc.,IV,concentrate,2.0,10.0,,,=,1.0,100.0,,,=,0.0,0.335,,,=,1.0,,CL,3.1,,,=,1.0,,Vd,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 17:58:45,2026-04-14 09:17:07,,,,,rituximab
164,FDA,RUXIENCE,rituximab-pvvr,rituximab,Pfizer Inc.,IV,solution,0.0,10.0,,,=,1.0,100.0,,,,0.0,0.335,,,=,1.0,,CL,3.1,,,=,1.0,,Vd,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-04-13 17:59:43,2026-04-14 09:17:07,,,,,rituximab
